participant_id,study_id,authenticity_score,empathy_score,engagement_score,emotion_provoking_score,narrative_complexity_score,human_likeness_score
8,192,2,1,2,1,2,1
10,192,1,1,1,1,1,1
11,192,2,2,3,2,2,2
15,192,2,2,2,2,2,2
8,193,3,2,2,1,1,5
10,193,2,3,1,3,3,4
11,193,3,3,3,3,2,4
15,193,2,4,2,3,2,2
8,194,3,2,2,1,2,3
10,194,3,2,2,2,2,3
11,194,3,3,3,3,2,4
15,194,3,3,2,3,2,3
8,195,3,1,2,1,2,3
10,195,3,3,3,4,3,3
11,195,2,2,2,2,2,2
15,195,4,4,3,3,4,4
8,196,3,3,2,3,1,5
10,196,2,3,2,3,3,4
11,196,3,3,2,3,2,4
15,196,4,5,4,5,4,4
8,197,5,4,4,4,3,5
10,197,2,3,3,3,3,4
11,197,2,2,2,2,2,4
15,197,3,2,2,2,1,2
8,198,2,1,2,1,1,1
10,198,3,2,2,3,2,2
11,198,2,2,2,2,2,2
15,198,2,2,2,2,3,2
8,199,2,1,3,1,2,1
10,199,2,2,1,2,1,2
11,199,2,2,2,2,2,2
15,199,3,4,3,3,3,3
