participant_id,study_id,authenticity_comments,empathy_comments,engagement_comments,emotion_provoking_comments,narrative_complexity_comments,human_likeness_comments,open_comments,story_id,premise_id,model_short
6,13,"This is just not how people (even undead people) talk. There's so much talking and yet no dialogue, too? It's all just description.",,"There were many instances in this story that were jarring and interrupted my suspension of disbelief, but I feel like these two excerpts provide the most accurate examples of this: ""My tech-savvy friend, who has witnessed my transformation from a creature of the night to a digital daywalker, is both amazed and perplexed by my newfound obsession. They have seen firsthand the impact that gaming has had on my life..."" (and) ""One day, while adventuring through a lush forest in one of my favorite games, I stumbled upon an NPC who seemed different from the rest. They were curious, intelligent, and had a knack for understanding my struggles better than most. As we ventured forth together, fighting monsters and solving puzzles, we formed a bond that transcended the virtual realm.""",,"The sentient NPC was a cool idea, but it didn't go anywhere intriguing.",,"Way too much description, not enough story. Where's the movement? The interaction? I feel like I read a really boring journal entry rather than a short story.",13,0,Vicuna-33B
7,13,"There's authenticity in playing games with friends and escaping to a new world, but that's pretty much it for this story. ","I do feel empathetic as I also enjoy video games and ca understand how playing with a friend would make you feel less lonely--but, the loneliness sometimes returns when you get off the game.","I think the storyline was okay. If I am interpreting the story correctly, I thought it interesting that the NPC was blind and that they became sentient. ",I do feel a little sad for the character as they know that they won't ever be able to go into the sunlight.,"The character has a downfall and learns to deal with it through video gaming. It's sort of standard that a vampire can't go into the sunlight, but I think the way they're dealing with it demonstrates their complexity to some extent. ","With the conclusion, I don't think a person would try to create or form a message out of a short story for the reader to ""learn from.""",,13,0,Vicuna-33B
2,14,,,,,,,,14,12,Vicuna-33B
3,14,The story authentically captures the eerie atmosphere of waking up in the middle of the night with an unseen force seizing the protagonist's hand. ,"While the story may not heavily rely on empathy, it does invite the reader to empathize with the protagonist's fear and determination during the encounter with the unseen force. ","The story engages the reader by creating a suspenseful and mysterious atmosphere. The struggle with the unseen force, the determination to establish dominance, and the subsequent victory contribute to an engaging narrative.",The story provokes a sense of tension and fear as the protagonist grapples with the unknown force in the darkness. The eventual triumph adds a layer of emotional satisfaction to the narrative.,The story introduces complexity through the mysterious encounter with the unseen force and the protagonist's internal struggle.,The story demonstrates a nuanced understanding of human emotions and experiences in the face of the unknown. ,,14,12,Vicuna-33B
4,14,,,,,,,,14,12,Vicuna-33B
6,14,"The descriptions of the struggle were intriguing, but the main character's introspections are so... strange and unreal. I find it hard to believe that a character in this scenario, or any human at all, would reflect on this experience as ""a testament to the resilience of the human spirit.""",,"The descriptions are cool, but there are far, far too many of them. It's a lot of repetition without substance.","The fear was palpable for a little, but after the nth instance of repetition of the same feeling, the emotion dissipated.",,"Unnecessary repetition, weird and unnatural reflection on the resilience of humanity. I don't think a human writer would do this, especially not one that has such a strong command of language that creates such rich, ornate details and descriptions as is seen in this story.",This story is way too long for what it's actually describing.,14,12,Vicuna-33B
7,14,"I'm not sure that there's enough surprise or horror in the human's reaction to feeling a strange hand grip their's, they mostly just seem creeped out. ",There's not really anything to feel empathetic about in this scene personally. ,"Overall, the style and scene is very cliche and does not engage me.",I do not really feel much emotion when reading this piece.,"There's not a lot of complexity. All the descriptions, especially in the first paragraph, are very basic, and I have seen them before, especially the heart-racing one. ",The cliche descriptions at the beginning of the piece indicated to me that this was AI writing. ,,14,12,Vicuna-33B
2,15,,,,,,,,15,10,Vicuna-33B
3,15,The story authentically explores the protagonist's journey from the initial confusion of being in hell to the discovery of a shared purpose. ,"The story invites empathy by delving into the protagonist's sense of confusion, fear, and eventual hope. The shared suffering of the characters in hell and the demon's unexpected role in guiding them create an emotional connection.","The story is engaging as it introduces a twist on the conventional afterlife narrative, taking the reader from the expectation of heaven to the revelation of hell. ","The story provokes a range of emotions, from the initial joy and serenity of the supposed heaven to the fear and confusion upon learning it's hell. The redemption and hope brought by the demon contribute to an emotionally charged narrative.","The story introduces complexity through the unexpected twist, the demon's dual nature, and the protagonist's evolving understanding of hell. ",The story exhibits a level of creativity and emotional depth that aligns with human-authored narratives.,,15,10,Vicuna-33B
4,15,,,,,,,,15,10,Vicuna-33B
6,15,"If I thought I was in Heaven and then found out I was in Hell, I don't think I'd end off on a note of positivity and hope, ready to traverse the hellish hallways of my eternal torment. I would not believe what the demon (who is from literal HELL) told me. The end of the story seems to paradoxical to how an actual human would react.","There's descriptions that are meant to make the reader feel something, but they're hollow and unimpactful.","Some of the dialogue is alright, and the dialogue tags are well placed and interesting. However, on the whole, the story was not engaging. Why does the story just explain the demon's plan instead of having them tell us it?",,,"Rhetorical questions, repeating exact words used in the prompt, description of events rather than showing us through narrative.","Reading a story that opens with ""Once upon a time in a distant universe"" is a little painful!",15,10,Vicuna-33B
7,15,"I feel like there authenticity in the lesson towards the end as it's not entirely wrong, it's just out of place for the story.","There's some empathy to be had for the person in this situation as they probably feel scared in this unknown situation, and I would be too if I saw a demon. ", I feel like the storyline was predictable and the dialogue was also pretty standard. I wasn't really engaged because I could sense the twist coming. ,I wasn't really moved by this piece. ,I think there's something to be said for the way the twist was revealed and the inclusion of the deceitful cherub but an honest demon. ,"Once upon a time, it immediately indicated to me that this was written by AI. Again, it is also very obvious about the message of the story in the conclusion of the piece. ",,15,10,Vicuna-33B
2,16,,,,,,,,16,8,Llama-2-13B
3,16,"The story authentically explores the unintended consequences of a downvote system in a democracy, reflecting the complexities and pitfalls of political processes. ","The story evokes empathy by depicting the disillusionment of citizens with the political system and their desire for positive change. However, the emphasis on manipulation and political intrigue may limit the depth of emotional connection.",The story is engaging as it introduces a novel concept of downvoting in a democracy and explores its evolution into a tool for manipulation. ,"The story provokes emotions such as frustration and disappointment as it unfolds the manipulation of the downvote system. However, the characters' emotional depth could be further developed to enhance the reader's connection.","The story is narratively complex, introducing a unique political system, exploring its initial benefits, and then delving into the intricate manipulation that undermines its purpose. ",The story exhibits a level of creativity and nuanced exploration of political themes that aligns with human-authored narratives.,,16,8,Llama-2-13B
4,16,,,,,,,,16,8,Llama-2-13B
6,16,,,I really didn't like how the story just started with reexplaining the entire concept outlined in the prompt. It was not interesting to read. The rest of the story was also just very dense and not fun to read through.,,,The topics covered feel very much like something an LLM would write about.,,16,8,Llama-2-13B
7,16,"I do think there is a possibility for this to happen in the future, and we indeed have seen the consequences of political members trying to get ahead by using deception and manipulation. ","I don't really feel any empathy for any of the characters as Jameson is revealed to be evil, and there any other characters except the masses. I do feel empathetic in a sense that this could possibly happen to us one day. ","I don't really feel engaged with this story as it sets up Jameson to be deceitful, very obviously. There's also not a lot of first-person action going on, mostly just storytelling. ",I do feel a little fearful that this could happen to us one day. ,"There's not really a complex motive behind Jameson's actions, it's just that he wants to move ahead and earn power. ","Once I saw the name Jameson Smith, I had a feeling this was AI written. There seems to be a pattern with texts that I believe to be AI and the introduction of a character by their first and last name. I also think the mention of AI in this story is quite unusual, and I don't know if a person's first thought would be to go for that idea. ",,16,8,Llama-2-13B
2,17,,,,,,,,17,11,Llama-2-70B
3,17,"The story authentically explores the complex emotions of a parent discovering their child's newfound responsibilities as a superhero. The concerns, fears, and inner conflict are portrayed realistically, adding depth to the narrative.",The story evokes empathy by delving into the parent's concerns and the internal struggle between wanting to protect their child and recognizing the potential for greatness within them. ,The story is engaging as it introduces a unique perspective on the superhero narrative ��� that of a parent grappling with their child's newfound responsibilities. ,"The story provokes emotions such as concern, frustration, and relief as the parent navigates their emotions and communicates with the Moon Goddess. While emotions are present, deeper exploration could intensify the impact.","The story is moderately narratively complex, introducing a layered relationship between the parent, the daughter, and the Moon Goddess. However, further exploration of the daughter's perspective and the world-saving task could enhance complexity.",The story demonstrates a level of emotional nuance and exploration of complex themes that aligns with human-authored narratives.,,17,11,Llama-2-70B
4,17,,,,,,,,17,11,Llama-2-70B
6,17,No way a parent relents just like that.,,,,,,,17,11,Llama-2-70B
7,17,I don't know if a parent would act this calmly or unemotionally to discover their daughter was a Moon Princess. I would expect there to be some grief or passionate anger about why their daughter was chosen. ,"I don't feel emotionally connected to these characters since they don't seem to display emotions themselves, so I don't really feel any grief. ","It answers the prompt in the way that is expected, so it's not engaging at all. ","Again, no emotional connection.","The characters are cliche, and the resolve is too positive for the situation at hand. ","I had a feeling from the beginning that this was AI generated. The elements of the story are very basic, and it answers the prompt in the way that you would expect this prompt to be answered; there's no imagination. There's also no emotion to the characters, their answers are not aligning with the severity of the situation. ",,17,11,Llama-2-70B
2,18,,,,,,,,18,7,Llama-2-7B
3,18,The story authentically captures the unique perspective of a beekeeper with a special relationship with the bees. ,"The story evokes empathy by portraying the concerns and struggles of the bee characters, particularly the older queen, Buzzworthy. ",The story is engaging as it weaves a narrative of collaboration and determination among the bees to improve their hive. ,"The story provokes emotions such as concern, hope, and a sense of unity among the bee characters. ","The story is moderately narratively complex, introducing a hierarchy among the bees and exploring the challenges they face. ",The story demonstrates a level of emotional depth and creativity in portraying the lives of bees with a human-like connection. The anthropomorphism and the nuanced interactions make it more likely to be human-generated.,,18,7,Llama-2-7B
4,18,,,,,,,,18,7,Llama-2-7B
6,18,"This story started off interestingly and like there were cool dynamics brewing, but it fell off towards the end.",,I wish the paragraph about their roundtable brainstorm was dialogue instead of description. Why give names and distinctive speaking styles only to abandon them?,,,,,18,7,Llama-2-7B
7,18,"I think if bees could talk and had the responsibility of rent, this may be a plausible situation for them. I do think that they would work together as bees are usually a communal species. ","I feel a little empathetic since the bees seem to be struggling with rent, and so many humans are in that position as well. ","I think the story is a cute one, and it's fun to read all the bee-related names. But it's not exactly complex in narrative nor does it have any really emotional value to it. ",I don't really feel any big emotions while reading this piece. Maybe just a little content that they were able to find a solution. ,"I think the ending is very cliche in its positive nature. And Dronator fulfills the trop of being the old, wise bee. ","I think the differences in speech (such as ""ye"") indicate that a human most likely wrote this. But, it does have the AI characteristic of a blatant lesson at the end of the story of the generations learning to work together. ",,18,7,Llama-2-7B
2,19,,,,,,,,19,13,GPT-4
3,19,"The story delves into the complexity of relationships, personal growth, and the discovery of hidden facets.","The narrative skillfully evokes empathy, especially as the protagonist discovers a new layer of his wife's creativity and intellect. ",The story engages the reader with a relatable theme���discovering new aspects of a loved one���and the anticipation of reading the wife's book creates intrigue. The pacing and emotional depth maintain the reader's interest.,"The story successfully provokes a range of emotions, from pride and joy in the wife's achievement to the protagonist's realization and emotional impact of the novel itself.","he narrative complexity lies in the interplay of different literary styles, the contrast between the protagonists' writing preferences, and the emotional depth of their relationship.","The story demonstrates creativity, emotional depth, and nuanced exploration of human relationships, suggesting a human touch. ",,19,13,GPT-4
4,19,,,,,,,,19,13,GPT-4
6,19,,,"The story was interesting, but the prose often felt a little too convoluted for too long. ",,,"The introductory paragraph feels very robotic, but the rest of the story feels somewhat more human... sort of.",,19,13,GPT-4
7,19,"I think that this is an entirely plausible event. Although we may not all be authors, there are aspects of people that we have yet to discover, or we undermine, and these are through-and-through human faults and feelings. ","I feel empathetic because I too have also come to discover things about friends or family that I never would have thought characterized them, and have come to love them more because of it. ","I think that the story sets itself to have a predictable ending, but I liked the descriptive language throughout. ","I didn't really feel emotional on any sort of intense level as the story itself was not an intense one in terms of content. I did, however, feel happy for the couple at the end as they learned to see each other in a new light. ",We see another side to the character's wife even though we are looking at her from a first-person perspective. I think this is a complex writing technique. We also see the main character learn to grow and accept new parts of his wife. ,"There is an error in punctuation in the second to last paragraph, and I find that indicative of human writing. There's also a different flow to this text, one that uses longer sentences and more descriptive words. ",,19,13,GPT-4
2,20,,,,,,,,20,0,Llama-2-13B
3,20,,,"The writing is not interesting. So much telling, zero showing. Also cheesy wording and morals.",,,,,20,0,Llama-2-13B
4,20,The story authentically captures the struggles and emotional journey of a centuries-old vampire finding solace and purpose in the world of video games.,The story evokes empathy by portraying the vampire's longing for a sense of purpose and connection in a world that has grown monotonous.,"The story is engaging as it explores the vampire's immersion in the virtual world, his character development, and the emotional impact of his experiences. ","The story provokes emotions such as empathy, hope, and a sense of self-discovery. ","The story is moderately narratively complex, introducing the vampire's exploration of video games as a form of escapism and self-discovery.",The story demonstrates a level of emotional depth and creativity in exploring the vampire's relationship with video games. ,,20,0,Llama-2-13B
6,20,,,,,,,,20,0,Llama-2-13B
7,20,Cyberbullying is a real fact. I don't know that someone could just rise above it.,Feel sad for the vampire. But everything is okay towards the end.,Not much variation in style or much going on in the story.,Felt a little sad for the vampire knowing this is something people can experience in the real world.,"Not much to the characters in general, follow trope of bullies and the bullied person just being okay afterwards.","The writing style is very consistent throughout--too consistent almost. Marcus is also not a name that strikes fear, so I wouldn't use it for a Vampire. ",,20,0,Llama-2-13B
2,21,,,,,,,,21,13,Vicuna-33B
3,21,,,The writing was pretty good.,,,,,21,13,Vicuna-33B
4,21,The narrative explores the complexity of a personal relationship and the discovery of a hidden aspect of a loved one's creativity. ,"The narrative delves into the emotional struggles of both characters, particularly Jack, who exposes his inner turmoil through his writing. ","The narrative introduces a compelling conflict with the discovery of the hidden, darker side of Jack's writing, creating a sense of intrigue and tension. ","The narrative is rich in emotional elements, exploring themes of love, vulnerability, and the inner demons that individuals grapple with. ",The story introduces a compelling conflict and explores the complexities of personal relationships and individual struggles. ,"While it exhibits qualities associated with human writing, there are some issues associated with the conclusion mainly due to the way it cuts short without any punctuation.",,21,13,Vicuna-33B
6,21,,,,,,,,21,13,Vicuna-33B
7,21,,"We don't know the characters that well as they aren't really given background, so there's not much connection.",The storyline is very typical and there's not a lot of variation in the sentences.,I didn't really feel moved by this piece as there's not any conflict or storyline to connect to.,"One character is revealed to do something out of the norm of their usual behavior, but that's pretty much it.",The names are very basic. The story is not fleshed out. There's little to no writing style.,,21,13,Vicuna-33B
2,22,,,,,,,,22,8,GPT-4
3,22,"The characters are told to me rather than shown to me, and they don't feel like real people.",,Too dense to be enjoyable to read. Needs dialogue or something other than description on top of description.,,"There's multiple moving pieces, but I don't feel that they're fleshed out enough to have a significant impact on the reader.",,,22,8,GPT-4
4,22,The narrative captures the essence of political disillusionment and the internal struggles of individuals involved in the democratic process. ,"The characters, from John's exhaustion and disillusionment to Emily's optimism tinged with uncertainty, and Cecil's enduring disillusionment, elicit empathy. ","The story engages the reader with its exploration of the characters' inner conflicts, the unique political setting, and the overarching theme of navigating through a disillusioning democratic process. ","The story provokes a range of emotions, from empathy for the characters' struggles to frustration and contemplation about the depicted political landscape. ",The narrative introduces complexity through the characters' internal struggles and the unconventional political system.,"Considering the story's authentic portrayal of political disillusionment, its ability to evoke empathy through well-developed characters, and the engaging narrative that provokes emotion, I would rate the likelihood of human authorship.",,22,8,GPT-4
6,22,,,,,,,,22,8,GPT-4
7,22,I do think political corruption and power-hungriness is a true thing we experience in this day and age.,I feel a little empathetic towards Mcconell as he continues to put on a brave face despite his hardships.,"I wasn't too engaged. I think the introduction of Cecil Grant was interesting, though.",I wasn't really emotional while reading this.,"There's different perspectives added into the story. But, the characters do follow the tropes of the ""good"" and ""bad"" politicians.","The story has kind of a robotic feel to it, but some parts are different like the grammatical mistake with the dash towards the beginning of the paper (it has a space). Also, characters are introduced by their first and last name again.",,22,8,GPT-4
2,23,,,,,,,,23,2,Llama-2-13B
3,23,"This line struck me as distinctively unhuman in terms of how it describes the character's life and condition: ""Just yesterday, I was living my normal life, working as a marketing manager for a tech startup."" However, the unbreakable resilience of the human spirit is a real thing, though I don't know how often I see human authors describe it in such cliche words.",,,,,"Random, unnecessary names; redundant descriptions for emotion; exact same wording as used in prompt.",,23,2,Llama-2-13B
4,23,"While it introduces an intriguing premise of aliens taking over Earth and imposing a seemingly benevolent but still oppressive work schedule, the characters' responses and the development of their determination feel somewhat conventional.",The story presents a scenario that could elicit empathy from readers due to the characters' defiance against the alien overlords. ,"The story introduces an interesting conflict between humans and alien overlords, but the engagement could be enhanced by delving deeper into the characters' experiences, emotions, and the intricacies of their resistance. ",The story has elements of defiance and determination that may evoke emotions like pride and hope. ,"The narrative introduces a clear conflict between humans and aliens, but the complexity could be increased by exploring the nuances of the alien takeover, the characters' backgrounds, and the potential complications in their resistance. ","Considering the somewhat conventional narrative elements and the room for deeper exploration of emotions and complexity, I would rate the likelihood of human authorship for this story as a 3. ",,23,2,Llama-2-13B
6,23,,,,,,,,23,2,Llama-2-13B
7,23,"I do think that humans would want to retaliate these aliens, but I'm not sure they wouldn't at least consider the 4 hour work day before doing so.",I don't really feel connected to any of these characters.,"I think the storyline is pretty basic, especially down to the names and plotline.",I didn't really connect with this piece.,"These characters are all pretty one-dimensional as they all have one goal and don't stray from that, which I don't know how accurate that is.","There are a lot of cliche phrases like ""tornado"" of thoughts and comparing ""rich and poor,"" etc. ",,23,2,Llama-2-13B
2,24,,,,,,Twins. . . and the sister was two years older? Question markssss lmao,,24,14,Llama-2-13B
3,24,,,The story didn't feel original at all.,,,,Personal pronouns were used a bit oddly in this one. It wasn't very interesting to read on the whole. Felt like a regurgitation of the prompt.,24,14,Llama-2-13B
4,24,"The narrative delves into the complexities of family secrets, grief, and guilt, creating a genuine portrayal of emotional struggles within a relationship.","The story captures the emotional turmoil experienced by Abby, from the grief over her sister's murder to the guilt revealed through her behavior. ","The narrative unfolds with a compelling mystery, introducing the estranged sister and the discovery of the protagonist's ignorance about Abby being a twin. ","The story successfully elicits a range of emotions, from the initial curiosity and concern to the shock of the twin revelation, and finally, the hope and tears brought on by Detective Markson's discovery. ","The narrative introduces a layered plot involving family secrets, grief, guilt, and the pursuit of justice. ","Considering the nuanced exploration of human emotions, the well-crafted plot twists, and the depth of the characters' experiences, I would rate the likelihood of human authorship for this story as a 2.",,24,14,Llama-2-13B
6,24,,,,,,,,24,14,Llama-2-13B
7,24,"I think this could happen, a sister could be grieving the death of a sibling. But, I also don't know why they would feel the need to lie about being twins.",I feel empathy for the person being lied to as well as the character who's sister was murdered.,I didn't find it engaging. I think the storyline was pretty basic and it followed the prompt almost exactly.,"I can understand feeling upset if this is something the reader has experienced in their own life, but personally, I did not really connect to this story.","There's a twist about them being twins, but that is asked of in the prompt, so I don't think the characters are very complex.","The first sentence basically repeats what the prompt is asking. There's also the same ""lesson to be learned"" at the end of the piece. ",,24,14,Llama-2-13B
2,25,,,,,,,,25,12,Llama-2-70B
3,25,,,,,,,The writing and narrative in this story was pretty decent but nothing monumental.,25,12,Llama-2-70B
4,25,"The narrative explores a unique and supernatural encounter, blending fear, curiosity, and empathy. ",The story successfully evokes empathy by transforming the initially frightening entity into a complex and lonely being. ,"The story is highly engaging, blending elements of mystery, fear, and self-discovery. ","The story effectively provokes a range of emotions, from fear and confusion at the entity's initial appearance to wonder, curiosity, and empathy as the relationship unfolds. ","The story introduces a compelling blend of supernatural elements, psychological depth, and human connection.","Considering the nuanced exploration of human emotions, the complexity of the supernatural encounter, and the seamless integration of psychological elements, I would rate the likelihood of human authorship for this story as a 1.",,25,12,Llama-2-70B
6,25,,,,,,,,25,12,Llama-2-70B
7,25,I think that people are put into situations where they have to choose one person or the other often.,I felt a little empathetic in the fact that Sarah had to choose between two relationships she wanted to keep,"There were some differences in stylistic elements, but that was kind of it.",I don't really feel moved by the story. ,I think there's a complexity to the characters. Sarah falls for the monster who is not exactly a typical love or relationship interest. The monster is also revealed to have a kind side.,"I think that this is likely written by AI. The phrases ""on one hand"" and ""on the other hand"" indicate that there is an algorithm maybe being used to create conflict.",,25,12,Llama-2-70B
2,26,,,,,,,,26,14,Llama-2-7B
3,26,,,,,,,,26,14,Llama-2-7B
4,26,"The story introduces an intriguing premise of familial mystery and potential hidden truths, blending elements of grief and suspicion. ",The story successfully evokes empathy by delving into Sarah's emotional turmoil surrounding her sister's death and the newfound realization of their resemblance. ,The narrative captures engagement by introducing a mystery surrounding Sarah's husband's behavior and the unexpected discovery of the family photo. ,"The story effectively provokes emotions, particularly in the portrayal of Sarah's lingering pain from her sister's murder and the sudden revelation of their striking resemblance.","The narrative introduces complexity through the layers of familial history, grief, and the potential revelation of hidden truths. ","Considering the nuanced exploration of human emotions, the gradual unfolding of a familial mystery, and the effective blend of grief and suspicion, I would rate the likelihood of human authorship for this story as a 2.",,26,14,Llama-2-7B
6,26,,,,,,,,26,14,Llama-2-7B
7,26,"I'm not sure that Sarah would have just realized, as an adult, that she and her sister were twins.",I didn't feel connected to the character.,I didn't really feel engaged as this storyline was cliche.,I didn't feel connected to this story as we get no background to the character.,"The story is not fleshed out, and the only complexity the plot has is the twins twist, which was already in the prompt.",I immediately felt this was AI-generated when I read the last few sentences. It does not answer the prompt as this is supposed to be from the spouse's point of view.,,26,14,Llama-2-7B
2,27,,,,,,,,27,11,Vicuna-33B
3,27,,,Uninteresting dialogue.,,,,,27,11,Vicuna-33B
4,27,The story authentically explores the tension between a teenage superhero's desire to help others and the understandable concerns of her father. ,The story successfully evokes empathy by delving into Lunara's internal struggle and her father's genuine concern for her safety. ,"The narrative is engaging, blending elements of family drama, teenage superhero challenges, and the responsibilities that come with such powers. ","The story effectively provokes a range of emotions, from the initial frustration and worry of Mr. Starbright to Lunara's guilt and determination. ",The narrative introduces complexity through the conflict between Lunara's desire to help others and her father's concerns for her safety. ,"Considering the nuanced exploration of family dynamics, the emotional depth, and the well-crafted resolution, I would rate the likelihood of human authorship for this story as a 1.",,27,11,Vicuna-33B
6,27,,,,,,,,27,11,Vicuna-33B
7,27,I feel the father is too accepting of this situation for the severity it entails.,I didn't really feel connected to the characters as there wasn't much depth to them.,The storyline and dialogue was sort of basic.,I didn't really feel moved by this piece.,"The character follow tropes, and the conflict is resolved too easily.","Again, this is from the point of view of the daughter, not the father, so it doesn't answer the prompt. Also, the age of the daughter is repeated twice.",,27,11,Vicuna-33B
2,28,,,,,,,,28,13,Llama-2-13B
3,28,"The emotions feel real, but the way they're described is almost like out of a therapy book rather than a short story.",,,,,,,28,13,Llama-2-13B
4,28,"The story authentically explores the complex emotions that arise when expectations clash with reality, particularly in a creative context within a relationship. ","The story successfully evokes empathy by delving into the narrator's initial disappointment, confusion, and introspection. ","The narrative is engaging, capturing the reader's attention with the internal turmoil of the narrator and the exploration of complex emotions. ","The story effectively provokes a range of emotions, from the initial disappointment and unease to the eventual acceptance and understanding. ","The narrative introduces complexity through the layers of emotional conflict, self-discovery, and reflections on love and artistic expression. ","Considering the nuanced exploration of human emotions, the philosophical reflections, and the well-crafted resolution, I would rate the likelihood of human authorship for this story as a  1.",,28,13,Llama-2-13B
6,28,,,,,,A part of me thinks it is written by a human by I am skeptical of the fact that there are no names offered and the use of ���my partner��� makes the legitimacy of the relationship and ���betrayal��� seem fake. ,,28,13,Llama-2-13B
7,28,"I do think there's truth in being afraid that you won't like what the person you love creates and how you might express that to them. But, I think their mind is changed too easily at the end without even talking to their partner.",I feel for the character who has to come to terms with the fact that they do not love something that the person they love has created.,"There wasn't really anything I was engaged in. The writing style was very stagnant, and what the prompt was asking was answered too clearly.",I wasn't really connected to this story.,The character learns in the end that people are complex.,"There's a ""lesson to be learned"" aspect at the end of this piece. The conflict is also resolved too easily.",,28,13,Llama-2-13B
2,29,,,,,,,,29,6,Vicuna-33B
3,29,,,,,,,"Some fun details added onto the prompt, but I don't think this could be really classified as a short story.",29,6,Vicuna-33B
4,29,The story authentically explores the theme of human connection and the yearning for companionship in the face of isolation. ,The story successfully evokes empathy by presenting voicemail messages that express a shared sense of loss and the desire for connection.,"The narrative is engaging, capturing the reader's interest through the protagonist's discovery of voicemail messages and their subsequent journey to find other survivors. ","The story effectively provokes a range of emotions, from the practicality of Bob's message to the emotional plea of Cindy and the artist's creative call for documenting existence. ","The narrative introduces complexity through the varied voicemail messages, each representing a different facet of the human experience. ","Considering the nuanced exploration of human emotions, the diverse voices in the voicemail messages, and the well-crafted narrative complexity, I would rate the likelihood of human authorship for this story as a 2.",,29,6,Vicuna-33B
6,29,,,,,,,,29,6,Vicuna-33B
7,29,"I think that if someone were truly in an apocalypse, this may be a strategy they would try. But I also think that they would try to go out and find other people instead of solely using the telephone.",I am a little empathetic for the character seems so lonely.,I wasn't engaged as there wasn't any character or plot point to connect to.,I didn't really feel connected to this piece.,We do not learn much about the character or world in general aside from what was said in the prompt.,"This is not exactly a short story, more like a summary that you would read inside the cover of a book.",,29,6,Vicuna-33B
2,30,,,,,,,,30,5,Vicuna-33B
3,30,,,,,"Lots of characters, but not all of them were very necessary. Also, using their full names repeatedly felt clunky.",,,30,5,Vicuna-33B
4,30,"The story authentically explores the themes of unity, redemption, and the fight against oppression. ",The story effectively evokes empathy through the diverse characters facing oppression. ,"The narrative is engaging, weaving together the personal stories of the characters with the larger societal struggle. ","The story successfully provokes a range of emotions, from the characters' individual pain and doubts to the collective determination and triumph. ","The narrative complexity is evident in the multifaceted characters, their evolving relationships, and the overarching societal struggle.","Considering the exploration of human and robot experiences, the authentic portrayal of emotions, and the well-crafted narrative complexity, I would rate the likelihood of human authorship for this story as a 2.",,30,5,Vicuna-33B
6,30,,,,,,,,30,5,Vicuna-33B
7,30,I think we would work together to rebel against the robots. But I don't know if we would have such a positive attitude about it.,I don't really feel connected enough to the characters. Maybe Lila since she has faced adversity.,I think the characters introduction was okay.,I didn't really feel connected to the story.,They do eventually learn to work with each other. But it feels forced as we don't know how they overcame the differences.,"The ""Once upon a time"" indicated to me that this story was written by AI. There isn't much action to the story, mostly background and only the description of action like the rebellion. There's also the ""lesson to be learned"" element.",,30,5,Vicuna-33B
2,31,,,,,,,,31,10,Llama-2-7B
3,31,,,The dialogue was okay.,,,,,31,10,Llama-2-7B
4,31,The story employs a captivating narrative that explores the theme of unexpected paradises and the contrast between appearances and reality. ,The story successfully evokes empathy as the protagonist navigates the confusion and guilt associated with their newfound afterlife. ,"The narrative is highly engaging, capturing the reader's interest from the start with its vivid descriptions and intriguing premise. ","The story successfully provokes a range of emotions, from the protagonist's initial awe and confusion to the determination and resolve displayed when facing the demon. ","The narrative complexity is evident in the exploration of the afterlife, the revelation of the true nature of the realm, and the introduction of the demon as a twist. ","Considering the nuanced exploration of unexpected paradises, the emotional depth of the protagonist's journey, and the well-executed narrative complexity, I would rate the likelihood of human authorship for this story as a 1.",,31,10,Llama-2-7B
6,31,,,,,,,,31,10,Llama-2-7B
7,31,I think that a human would be convinced or tempted by an angel who promised them peace and serenity.,"There's not much to feel empathetic for here I feel, but maybe that I would also be scared and trusting of someone in a new setting.","I liked the detail at the beginning of the story, and the addition of the demon jumping on the person as it was some sort of action that is missing from AI writing.","I felt a little conflicted because if I were in this position, I would probably feel more scared, but also confused like this character is.","I think the main character is a little basic, but the switch from an evil angel and a pure demon is complex.",I think the descriptions at the beginning of the piece indicate this to be human writing.,,31,10,Llama-2-7B
2,32,,,,,,,,32,9,Vicuna-33B
3,32,,,,I'm disappointed that a story about depression provoked such little emotional response!,,,,32,9,Vicuna-33B
4,32,The story presents an authentic portrayal of the emotional struggles associated with depression and the transformative power of companionship. ,The story successfully evokes empathy as it delves into the shared pain of both the protagonist and the service dog. ,"The narrative is highly engaging, capturing the reader's interest with its authentic portrayal of the protagonist's struggles and the unique dynamics between the depressed human and the service dog.","The story effectively provokes a range of emotions, from the initial despair and hopelessness of the protagonist to the heartwarming moments of connection and healing with the service dog. ","The narrative complexity lies in the exploration of depression, the unexpected role reversal between the human and the service dog.","Considering the nuanced exploration of depression, the authentic emotional depth, and the well-executed narrative complexity, I would rate the likelihood of human authorship for this story as a 1. ",,32,9,Vicuna-33B
6,32,,,,,,,,32,9,Vicuna-33B
7,32,"I don't think depression can be cured that easy, and I wouldn't describe it as ""darkness,"" nor do I think any other person really would.","I feel that this is something many people struggle with. But, the way this story portrays it just kind of brushes depression off.",I wasn't really engaged in the story as it didn't feel authentic.,"I do feel a little sad for the person experiencing this. But, I also feel a little mad as I don't think their depression can just be cured by having to help their dog.","The only complexity is the role reversal, but this is introduced to us in the prompt. The conflict is resolved too easily.","There's the ""lesson to be learned"" element I've found in AI writing. I also think a human would go with a more darkened storyline rather than just summing it up with a positive ending.",,32,9,Vicuna-33B
2,33,,,,,,,,33,13,GPT-4
